"Site","Building","Floor","Area","Description","Room Number","Room Barcode","Room Type","Cost Centre","Department"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","SUBWAIT","AEB00029","AEB00029","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","LOBBY","AEB00030","AEB00030","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","NURSES STATION","AEB00031","AEB00031","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","ORTHDONTIC TREATMENT","AEB00032","AEB00032","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","ORTHDONTIC TREATMENT","AEB00033","AEB00033","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","ORTHDONTIC TREATMENT","AEB00034","AEB00034","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","WC DISABLED","AEB00035","AEB00035","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","UTILITY CLEAN","AEB00036","AEB00036","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","RECOVERY","AEB00037","AEB00037","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","UTILITY CLEAN","AEB00038","AEB00038","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","PLANNING ROOM","AEB00039","AEB00039","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","LOBBY UNIFORM","AEB00040","AEB00040","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","CHANGE STAFF","AEB00041","AEB00041","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","WC/SHOWER","AEB00042","AEB00042","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","STORE MODEL","AEB00043","AEB00043","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","CUPBOARD CLEANER","AEB00044","AEB00044","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","STORE","AEB00045","AEB00045","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","LAB DENTAL 01","AEB00046","AEB00046","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","DISPOSAL HOLD","AEB00047","AEB00047","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","CUPBOARD ELECTRIC","AEB00048","AEB00048","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","SEMINAR /STAFF REST ROOM","AEB00049","AEB00049","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","LAB DENTAL 02","AEB00050","AEB00050","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE SECRETARIES","AEB00051","AEB00051","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE SENIOR DSA","AEB00052","AEB00052","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE SNR CHIEF TECHNICAN","AEB00053","AEB00053","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE CONSULTANT","AEB00054","AEB00054","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE CONSULTANT","AEB00055","AEB00055","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE CONSULTANT","AEB00056","AEB00056","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE CONSULTANT","AEB00057","AEB00057","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE CONSULTANT","AEB00058","AEB00058","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","OFFICE CONSULTANT","AEB00059","AEB00059","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","PROSTHETICS","AEB00060","AEB00060","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","CORRIDOR","AEB00061","AEB00061","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","TREATMENT ORAL SURGERY","AEB00062","AEB00062","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","TREATMENT ORAL SURGERY","AEB00063","AEB00063","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","TREATMENT ORAL SURGERY","AEB00064","AEB00064","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEB","TREATMENT ORAL SURGERY","AEB00065","AEB00065","Not Defined",,"OUTPATIENT CLINIC  11"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","RECOVERY","AEE00031","AEE00031","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","TREATMENT","AEE00032","AEE00032","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","WC DISABLED","AEE00033","AEE00033","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","PHM","AEE00034","AEE00034","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","SUB WAIT","AEE00035","AEE00035","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00036","AEE00036","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00037","AEE00037","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","INTERVIEW","AEE00038","AEE00038","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CORRIDOR","AEE00039","AEE00039","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00040","AEE00040","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00041","AEE00041","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00042","AEE00042","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00043","AEE00043","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEF","RECEPTION OPD CLINIC 02","AEF00001","AEF00001","Not Defined",,"OUTPATIENT CLINIC 2"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CORRIDOR","AEE00001","AEE00001","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","DISPOSAL","AEE00002","AEE00002","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00003","AEE00003","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00004","AEE00004","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00005","AEE00005","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00006","AEE00006","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","WAITING","AEE00007","AEE00007","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CORRIDOR","AEE00008","AEE00008","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","OFFICE SISTERS","AEE00009","AEE00009","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","OFFICE SISTERS","AEE00010","AEE00010","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","STAFF ROOM","AEE00011","AEE00011","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","URODYNAMIC","AEE00012","AEE00012","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","WC SPECIMEN","AEE00013","AEE00013","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","UTILITY DIRTY","AEE00014","AEE00014","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","PHM","AEE00015","AEE00015","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","WC","AEE00016","AEE00016","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00017","AEE00017","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00018","AEE00018","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CUPBOARD ELECTRIC","AEE00019","AEE00019","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","OFFICE SISTERS","AEE00020","AEE00020","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","RECEPTION OPD CLINIC 04","AEE00021","AEE00021","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","INTERVIEW","AEE00022","AEE00022","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00023","AEE00023","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00024","AEE00024","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","WAITING","AEE00025","AEE00025","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","UTILITY CLEAN","AEE00026","AEE00026","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CORRIDOR","AEE00027","AEE00027","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CORRIDOR","AEE00028","AEE00028","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","DOPLER","AEE00029","AEE00029","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","TREATMENT","AEE00030","AEE00030","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00044","AEE00044","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00045","AEE00045","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00046","AEE00046","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AEE","CONSULT / EXAM","AEE00047","AEE00047","Not Defined",,"OUTPATIENT CLINIC 4"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","RECEPTION OPD CLINIC 05","AED00015","AED00015","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","SUB WAIT","AED00016","AED00016","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","PHYSICAL MEASUREMENT","AED00017","AED00017","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CONSULT / EXAM ROOM 5","AED00018","AED00018","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","WC","AED00019","AED00019","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CONSULTING","AED00020","AED00020","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","SUB WAIT","AED00021","AED00021","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CONSULTING","AED00022","AED00022","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CHANGE STAFF","AED00023","AED00023","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","UTILITY DIRTY","AED00024","AED00024","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","STORE","AED00025","AED00025","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","ECHO ROOM","AED00034","AED00034","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CONSULT / EXAM ROOM","AED00035","AED00035","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CONSULT / EXAM ROOM 4","AED00036","AED00036","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CONSULT / EXAM ROOM 3","AED00037","AED00037","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CONSULT / EXAM ROOM 2","AED00038","AED00038","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CONSULT / EXAM ROOM 1","AED00039","AED00039","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CORRIDOR","AED00040","AED00040","Not Defined",,"OUTPATIENT CLINIC 5"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CORRIDOR","AFG00001","AFG00001","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE JUNIOR DOCTORS","AFG00002","AFG00002","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE JUNIOR DOCTORS","AFG00003","AFG00003","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","KITCHEN TRAINING","AFG00004","AFG00004","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00005","AFG00005","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00006","AFG00006","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00007","AFG00007","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00008","AFG00008","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00009","AFG00009","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00010","AFG00010","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","IT HUB 04","AFG00011","AFG00011","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00012","AFG00012","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","RECEPTION OPD CLINIC 06","AFG00013","AFG00013","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","WAITING","AFG00014","AFG00014","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CUPBOARD CLEANER","AFG00015","AFG00015","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","PHYSICAL MEASUREMENT","AFG00016","AFG00016","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","SUBWAIT","AFG00017","AFG00017","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","WC","AFG00018","AFG00018","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","UTILITY DIRTY","AFG00019","AFG00019","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CORRIDOR","AFG00020","AFG00020","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","4 BED CLINICAL ROOM","AFG00021","AFG00021","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","UTILITY CLEAN","AFG00022","AFG00022","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE DIABETIC LIAISON","AFG00023","AFG00023","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE DIABETIC LIAISON","AFG00024","AFG00024","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OUTPATIENT CLINIC 6, LINEN ROOM","AFG00025","AFG00025","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","DISPOSAL HOLD","AFG00026","AFG00026","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE","AFG00027","AFG00027","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CUPBOARD ELECTRIC","AFG00028","AFG00028","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE CONSULTANT","AFG00029","AFG00029","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE CONSULTANT","AFG00030","AFG00030","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE CONSULTANT","AFG00031","AFG00031","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE CONSULTANT","AFG00032","AFG00032","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE CONSULTANT","AFG00033","AFG00033","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","OFFICE CONSULTANT","AFG00034","AFG00034","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CORRIDOR","AFG00035","AFG00035","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","WC","AFG00036","AFG00036","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","WC","AFG00037","AFG00037","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00038","AFG00038","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CORRIDOR","AFG00039","AFG00039","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00040","AFG00040","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00041","AFG00041","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00042","AFG00042","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00043","AFG00043","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00044","AFG00044","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CORRIDOR","AFG00045","AFG00045","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CHIROPODY","AFG00046","AFG00046","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CHIROPODY","AFG00047","AFG00047","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CHIROPODY","AFG00048","AFG00048","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","US DOPLER","AFG00049","AFG00049","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","VISUAL ACTIVITY","AFG00050","AFG00050","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CONSULT / EXAM","AFG00051","AFG00051","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AFG","CUPBOARD ELECTRIC","AFG00052","AFG00052","Not Defined",,"OUTPATIENT CLINIC 6"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","RECEPTION OPD CLINIC 07","AED00002","AED00002","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","OFFICE TECHNICIANS","AED00003","AED00003","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","PACEMAKER CHECK","AED00004","AED00004","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","ECHO ROOM","AED00005","AED00005","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","ECHO ROOM","AED00006","AED00006","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","ECHO ROOM","AED00007","AED00007","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","ECHO REVIEW ROOM","AED00008","AED00008","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","OFFICE JUNIOR DOCTORS","AED00009","AED00009","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","OFFICE DEPT MANAGER","AED00010","AED00010","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","24 HR MONITOR","AED00011","AED00011","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","24 HR MONITOR","AED00012","AED00012","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","ECG","AED00013","AED00013","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","WC","AED00014","AED00014","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CORRIDOR","AED00026","AED00026","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","SUB WAIT","AED00027","AED00027","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","SUB WAIT","AED00028","AED00028","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","EXERCISE TEST","AED00029","AED00029","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","EXERCISE TEST","AED00030","AED00030","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CUPBOARD CLEANER","AED00031","AED00031","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","DISPOSAL","AED00032","AED00032","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AED","CUPBOARD ELECTRIC","AED00033","AED00033","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AEP","CUPBOARD CLEANER","AEP00016","AEP00016","Not Defined",,"OUTPATIENT CLINIC 7"
"Walsgrave","GRD FLOOR CENTRAL","G","AEC","CORRIDOR","AEC00001","AEC00001","Not Defined",,"OUTPATIENT CLINIC 8"
"Walsgrave","GRD FLOOR CENTRAL","G","AEC","OFFICE","AEC00002","AEC00002","Not Defined",,"OUTPATIENT CLINIC 8"
"Walsgrave","GRD FLOOR CENTRAL","G","AEC","OFFICE","AEC00003","AEC00003","Not Defined",,"OUTPATIENT CLINIC 8"
"Walsgrave","GRD FLOOR CENTRAL","G","AEC","VESTIB TEST","AEC00004","AEC00004","Not Defined",,"OUTPATIENT CLINIC 8"
"Walsgrave","GRD FLOOR CENTRAL","G","AEC","OBSERVATION ROOM","AEC00005","AEC00005","Not Defined",,"OUTPATIENT CLINIC 8"
"Walsgrave","GRD FLOOR CENTRAL","G","AEC","FREE FIELD TEST ROOM 1","AEC00006","AEC00006","Not Defined",,"OUTPATIENT CLINIC 8"
